id,タイトル:title,説明:description,開始日:start,最終日:end
2014-05-16,遠藤享　版画展,,2014/05/16,2014/06/01
2014-06-04,現代作家版画展,"彫刻家・舟越桂さんの新作版画を中心に、現代美術のアーティストたちの版画を展示いたします。
展示作品　草間弥生、舟越桂　他",2014/06/04,2041/06/16
2014-06-25,小野州一展　ヨーロッパからフラノへⅡ,"パリで活躍し、晩年は北海道富良野を拠点に活動された洋画家・小野州一さん。豊かな色彩とスピード感溢れる筆致で「北国の風景」を描きました。
２０００年の急逝から14年が経ち、今でもその作品は多くの人々を魅了してやみません。今夏、パリ時代の作品から富良野へ移住後の作品を加え展示いたします。小野芸術に触れていただく展覧会です。",2014/06/25,2014/07/14
2014-07-23,夏の風景画展,港の風景、夏の山河、祭りなどなど、夏を彩る風物を描いた作品を集めました。きっと気に入る一点とめぐり合うことと思います。涼をあなたに、涼しさを呼ぶ夏の風景画展です。,2014/07/23,2014/08/04
